"all_exp","foodshortage_exp","foodshortagenew_exp","foodshortagerehab_exp","new_exp","newrehab_exp","rehab_exp","site","month","year","day","date"
0.00138538342434913,6.6000000515487e-05,0.25770777463913,7.16719732736237e-05,0.262221574783325,0.000923847430385649,6.43817475065589e-06,"Alstonville",1,2011,15,2011-01-15
0.0065312534570694,0.00646799989044666,0.241974756121635,0.00646801292896271,0.256687343120575,4.81169518025126e-05,1.73539511649778e-08,"Alstonville",2,2011,15,2011-02-15
0.0141215678304434,0.0139260003343225,0.257218033075333,0.0139263989403844,0.250001221895218,0.000272208388196304,2.77488652500324e-07,"Alstonville",3,2011,15,2011-03-15
0.00307519640773535,0.00204599997960031,0.237794697284698,0.00205064727924764,0.23086741566658,0.000989542691968381,4.96159509566496e-06,"Alstonville",4,2011,15,2011-04-15
0.000607244553975761,0.000528000004123896,0.174634650349617,0.000528064148966223,0.187709793448448,9.90377375273965e-05,4.44027605794872e-08,"Alstonville",5,2011,15,2011-05-15
0.0027828156016767,0.000395999988541007,0.15791067481041,0.000437162700109184,0.184949621558189,0.00205787178128958,5.12973674631212e-05,"Alstonville",6,2011,15,2011-06-15
0.0511046350002289,0.00435600010678172,0.175526976585388,0.0239787194877863,0.172226130962372,0.0462858118116856,0.0156607273966074,"Alstonville",7,2011,15,2011-07-15
0.001174645149149,0.000461999996332452,0.228138983249664,0.000463998498162255,0.224098235368729,0.000737578142434359,3.53580821865762e-06,"Alstonville",8,2011,15,2011-08-15
0.0833778232336044,0.0485100001096725,0.336230337619781,0.053539901971817,0.249754071235657,0.033563856035471,0.00578212738037109,"Alstonville",9,2011,15,2011-09-15
0.115659281611443,0.0974820032715797,0.373576581478119,0.0988187119364738,0.345437705516815,0.0230481419712305,0.00188627291936427,"Alstonville",10,2011,15,2011-10-15
0.0164528880268335,0.00178199994843453,0.375356018543243,0.00211880076676607,0.375674962997437,0.00976923853158951,0.000326629698975012,"Alstonville",11,2011,15,2011-11-15
0.148831143975258,0.00158399995416403,0.331560701131821,0.0830621346831322,0.334821045398712,0.138616725802422,0.063777394592762,"Alstonville",12,2011,15,2011-12-15
0.0663797706365585,0.000264000002061948,0.356924533843994,0.0210392158478498,0.356027513742447,0.0458111278712749,0.013980726711452,"Alstonville",1,2012,15,2012-01-15
0.00462085055187345,0.000132000001030974,0.361150860786438,0.000305580993881449,0.35807466506958,0.0090012913569808,0.000211623759241775,"Alstonville",2,2012,15,2012-02-15
0.0446810014545918,0.000264000002061948,0.269764631986618,0.0100946221500635,0.251820504665375,0.034781277179718,0.00960849784314632,"Alstonville",3,2012,15,2012-03-15
0.050792433321476,0.00303600006736815,0.259392470121384,0.0171857122331858,0.262455999851227,0.0375188924372196,0.0142858363687992,"Alstonville",4,2012,15,2012-04-15
0.00402065739035606,6.6000000515487e-05,0.199149936437607,0.000188034260645509,0.189617425203323,0.00431162118911743,0.000139956813654862,"Alstonville",5,2012,15,2012-05-15
0.0109747014939785,0.000264000002061948,0.162092387676239,0.00190369237679988,0.158224448561668,0.00983763299882412,0.00112483045086265,"Alstonville",6,2012,15,2012-06-15
0.0189809817820787,0.00765600008890033,0.255816668272018,0.00832689274102449,0.23675163090229,0.0111602498218417,0.000855960126500577,"Alstonville",7,2012,15,2012-07-15
0.015440508723259,0.00996599998325109,0.276033073663712,0.0100970398634672,0.267982393503189,0.00442695757374167,7.80700574978255e-05,"Alstonville",8,2012,15,2012-08-15
0.0310662798583508,0.0074579999782145,0.327529072761536,0.00973088014870882,0.323940336704254,0.0240689385682344,0.0017066647997126,"Alstonville",9,2012,15,2012-09-15
0.0460066646337509,0.0256740003824234,0.308692336082458,0.0275884140282869,0.33829265832901,0.0238358750939369,0.00216794107109308,"Alstonville",10,2012,15,2012-10-15
0.00924846157431602,0.00547799980267882,0.375181555747986,0.00551660545170307,0.347414553165436,0.00435672979801893,7.41587500669993e-05,"Alstonville",11,2012,15,2012-11-15
0.0860452204942703,0.0788699984550476,0.401178538799286,0.0790064409375191,0.352251052856445,0.00735501293092966,0.000178789006895386,"Alstonville",12,2012,15,2012-12-15
0.0209112241864204,0.00250800000503659,0.38738551735878,0.00385008030571043,0.404302895069122,0.0235927011817694,0.00151958619244397,"Alstonville",1,2013,15,2013-01-15
0.0323463901877403,0.0264660008251667,0.468252867460251,0.0265923757106066,0.467320114374161,0.00712262932211161,0.000155509129399434,"Alstonville",2,2013,15,2013-02-15
0.00681546563282609,0.000197999994270504,0.414818704128265,0.000319321901770309,0.397700190544128,0.00579708395525813,0.000208845653105527,"Alstonville",3,2013,15,2013-03-15
0.015223316848278,0.00594000006094575,0.365263104438782,0.00617187982425094,0.373699694871902,0.00804532505571842,0.00020364293595776,"Alstonville",4,2013,15,2013-04-15
0.0261241253465414,0.0228359997272491,0.338748902082443,0.02287039719522,0.319041937589645,0.00369542045518756,6.00226230744738e-05,"Alstonville",5,2013,15,2013-05-15
0.0148110575973988,0.0101640000939369,0.269392251968384,0.010271823965013,0.261693924665451,0.00466278893873096,0.000102998201327864,"Alstonville",6,2013,15,2013-06-15
0.0474308803677559,0.0346500016748905,0.371548801660538,0.0353128351271152,0.328808188438416,0.0140352034941316,0.000831409182865173,"Alstonville",7,2013,15,2013-07-15
0.0070845796726644,0.0014519999967888,0.349073767662048,0.00159831112250686,0.341969281435013,0.00801943987607956,0.000165012825164013,"Alstonville",8,2013,15,2013-08-15
0.0141428997740149,0.0103620002046227,0.352190852165222,0.0104111330583692,0.337539583444595,0.00384247838519514,6.34064635960385e-05,"Alstonville",9,2013,15,2013-09-15
0.0476714074611664,0.00910800043493509,0.365123510360718,0.012971336953342,0.35623499751091,0.0402248278260231,0.00487775122746825,"Alstonville",10,2013,15,2013-10-15
0.0272576306015253,0.0209219995886087,0.372615069150925,0.0211676601320505,0.354847222566605,0.00867034681141376,0.000327917019603774,"Alstonville",11,2013,15,2013-11-15
0.0189760718494654,0.00105600000824779,0.304833263158798,0.00182006775867194,0.309865921735764,0.0151791339740157,0.000972712005022913,"Alstonville",12,2013,15,2013-12-15
0.229158833622932,0.00112200004514307,0.362486243247986,0.158321067690849,0.359482824802399,0.209731966257095,0.137067854404449,"Alstonville",1,2014,15,2014-01-15
0.206047222018242,0.000197999994270504,0.370606690645218,0.191693797707558,0.351733058691025,0.20118921995163,0.155094131827354,"Alstonville",2,2014,15,2014-02-15
0.188467055559158,0.000197999994270504,0.354157328605652,0.115364916622639,0.351906776428223,0.17324361205101,0.102735430002213,"Alstonville",3,2014,15,2014-03-15
0.30952200293541,0,0.340598613023758,0.246831670403481,0.339379161596298,0.312833935022354,0.292302131652832,"Alstonville",4,2014,15,2014-04-15
0.306706637144089,0.00343200005590916,0.245527192950249,0.413653075695038,0.241563484072685,0.255397230386734,0.329653948545456,"Alstonville",5,2014,15,2014-05-15
0.275447934865952,6.6000000515487e-05,0.249553561210632,0.40545180439949,0.254509061574936,0.296355724334717,0.366836279630661,"Alstonville",6,2014,15,2014-06-15
0.428494542837143,0.000395999988541007,0.292078703641891,0.604989945888519,0.274457037448883,0.365630090236664,0.618048787117004,"Alstonville",7,2014,15,2014-07-15
0.380598694086075,0.0380159988999367,0.332213491201401,0.588918387889862,0.317663908004761,0.342680484056473,0.51254266500473,"Alstonville",8,2014,15,2014-08-15
0.449462741613388,0.0759000033140182,0.361613631248474,0.616561472415924,0.321052730083466,0.453802853822708,0.579316556453705,"Alstonville",9,2014,15,2014-09-15
0.366326630115509,0.000528000004123896,0.348546206951141,0.588211238384247,0.357364118099213,0.45274943113327,0.505648910999298,"Alstonville",10,2014,15,2014-10-15
0.398453384637833,0.00105600000824779,0.22018226981163,0.588670313358307,0.283751457929611,0.354502022266388,0.54218053817749,"Alstonville",11,2014,15,2014-11-15
0.413037687540054,6.6000000515487e-05,0.270392507314682,0.53904002904892,0.281502604484558,0.43565309047699,0.589590966701508,"Alstonville",12,2014,15,2014-12-15
0.00138538342434913,6.6000000515487e-05,0.25770777463913,7.16719732736237e-05,0.262221574783325,0.000923847430385649,6.43817475065589e-06,"Alstonville",1,2011,15,2011-01-15
0.0065312534570694,0.00646799989044666,0.241974756121635,0.00646801292896271,0.256687343120575,4.81169518025126e-05,1.73539511649778e-08,"Alstonville",2,2011,15,2011-02-15
0.0141215678304434,0.0139260003343225,0.257218033075333,0.0139263989403844,0.250001221895218,0.000272208388196304,2.77488652500324e-07,"Alstonville",3,2011,15,2011-03-15
0.00307519640773535,0.00204599997960031,0.237794697284698,0.00205064727924764,0.23086741566658,0.000989542691968381,4.96159509566496e-06,"Alstonville",4,2011,15,2011-04-15
0.000607244553975761,0.000528000004123896,0.174634650349617,0.000528064148966223,0.187709793448448,9.90377375273965e-05,4.44027605794872e-08,"Alstonville",5,2011,15,2011-05-15
